Brand,Model,type,MSRP Limit,Tax Credit Amount,,,,
CADILLAC (GM),Lyriq (2023-2024),Plug-in ,80000,"Up to $7,500",,,,
CHEVROLET,Blazer EV (2024),Plug-in ,55000,"Up to $7,500",,No blank cells,,"�=IF(COUNTBLANK(REPLACEWITHRANGE)>0, ""Blank cells exist"", ""No blank cells"")�"
CHEVROLET,Bolt EUV (2022-2023),Plug-in ,55000,"Up to $7,500",,,,
CHEVROLET,Bolt EV (2022-2023),Plug-in ,55000,"Up to $7,500",,,,
CHEVROLET,Equinox EV (2024),Plug-in ,55000,"Up to $7,500",,,,
CHEVROLET,Silverado EV (2024),Plug-in ,80000,"Up to $7,500",,,,
FORD,F-150 Lightning (2022-2023),Plug-in ,80000,"Up to $7,500",,,,
FORD,Mustang Mach-E (2022-2023),Plug-in ,80000,"Up to $3,750",,,,
FORD,E-Transit (2022-2023),Plug-in ,80000,"Up to $3,750",,,,
RIVIAN,R1T (2023),Plug-in ,80000,"Up to $3,750",,,,
RIVIAN,R1S (2023),Plug-in ,80000,"Up to $3,750",,,,
TESLA,Model 3 Standard Range RWD/Long Range (2022-2023),Plug-in ,55000,"Up to $7,500",,,,
TESLA,Model 3 Performance (2022-2023),Plug-in ,55000,"Up to $7,500",,,,
TESLA,Model Y AWD/Long Range/Performance (2022- 2023),Plug-in ,80000,"Up to $7,500",,,,
VOLKSWAGEN,ID.4 / ID.4 S (2023),Plug-in ,80000,7500,,,,
VOLKSWAGEN,ID.4 Pro/Pro S/Pro S Plus (2023),Plug-in ,80000,7500,,,,
VOLKSWAGEN,ID.4 AWD Pro/AWD Pro S/AWD Pro S Plus (2023),Plug-in ,80000,7500,,,,
BMW,X5 xDrive50e (2024),Plug-in Hybrid Electric Vehicles,80000,"Up to $3,750",,,,
CHRYSLER,Pacifica Plug-in Hybrid (2022-2023),Plug-in Hybrid Electric Vehicles,80000,"Up to $7,500",,,,
FORD,Escape Plug-in Hybrid (2022-2023),Plug-in Hybrid Electric Vehicles,80000,"Up to $3,750",,,,
JEEP,Grand Cherokee 4xe (2022-2023),Plug-in Hybrid Electric Vehicles,80000,"Up to $3,750",,,,
JEEP,Wrangler 4xe (2022-2023),Plug-in Hybrid Electric Vehicles,80000,"Up to $3,750",,,,
LINCOLN,Aviator Grand Touring (2022-2023),Plug-in Hybrid Electric Vehicles,80000,"Up to $7,500",,,,
LINCOLN,Corsair Grand Touring (2022-2023),Plug-in Hybrid Electric Vehicles,80000,"Up to $3,750",,,,
